SampleID	Country
10317.000015775	AGP
10317.000029263	AGP
10317.000002841	AGP
10317.000003422	AGP
10317.000003118	AGP
10317.000007684	AGP
10317.000007152	AGP
10317.000002821	AGP
10317.000068947	AGP
10317.000068790	AGP
10317.000103840	AGP
10317.000113702	AGP
10317.000148418	AGP
10317.000002620	AGP
10317.000013050	AGP
10317.000029616	AGP
10317.000063192	AGP
10317.000047559	AGP
10317.000005429	AGP
10317.000009106	AGP
10317.000015353	AGP
10317.000042792	AGP
10317.000069843	AGP
10317.000105437	AGP
10317.000154554	AGP
10317.000148136	AGP
10317.000004010	AGP
10317.000005658	AGP
10317.000005842	AGP
10317.000004921	AGP
10317.000003359	AGP
10317.000009092	AGP
10317.000010878	AGP
10317.000014647	AGP
10317.000069238	AGP
10317.000069239	AGP
10317.000017303	AGP
10317.000004012	AGP
10317.000005087	AGP
10317.000007571	AGP
10317.000007447	AGP
10317.000007567	AGP
10317.000007453	AGP
10317.000007441	AGP
10317.000007519	AGP
10317.000007523	AGP
10317.000015708	AGP
10317.000015384	AGP
10317.000011377	AGP
10317.000018077	AGP
10317.000052300	AGP
10317.000052299	AGP
10317.000068839	AGP
10317.000098095	AGP
10317.000154631	AGP
10317.000005082	AGP
10317.000005575	AGP
10317.000005635	AGP
10317.000007216	AGP
10317.000007485	AGP
10317.000007221	AGP
10317.000007226	AGP
10317.000007606	AGP
10317.000007612	AGP
10317.000007617	AGP
10317.000012495	AGP
10317.000012505	AGP
10317.000012705	AGP
10317.000012710	AGP
10317.000015304	AGP
10317.000050412	AGP
10317.000052371	AGP
10317.000069139	AGP
10317.000069857	AGP
10317.000003030	AGP
10317.000002360	AGP
10317.000005812	AGP
10317.000007238	AGP
10317.000007040	AGP
10317.000007501	AGP
10317.000007237	AGP
10317.000007239	AGP
10317.000006880	AGP
10317.000007480	AGP
10317.000007479	AGP
10317.000007478	AGP
10317.000012450	AGP
10317.000012698	AGP
10317.000012693	AGP
10317.000015648	AGP
10317.000015653	AGP
10317.000015661	AGP
10317.000047587	AGP
10317.000068767	AGP
10317.000068983	AGP
10317.000027757	AGP
10317.000090122	AGP
10317.000155318	AGP
10317.000005813	AGP
10317.000009072	AGP
10317.000002037	AGP
10317.000002684	AGP
10317.000003104	AGP
10317.000005162	AGP
10317.000005901	AGP
10317.000033132	AGP
10317.000047854	AGP
10317.000063240	AGP
10317.000069055	AGP
10317.000068851	AGP
10317.000155600	AGP
10317.000002413	AGP
10317.000013876	AGP
10317.000015119	AGP
10317.000022695	AGP
10317.000032975	AGP
10317.000047863	AGP
10317.000063444	AGP
10317.000066828	AGP
10317.000155651	AGP
10317.000007413	AGP
10317.000007200	AGP
10317.000013889	AGP
10317.000030582	AGP
10317.000063336	AGP
10317.000051221	AGP
10317.000155372	AGP
10317.000005572	AGP
10317.000007198	AGP
10317.000007196	AGP
10317.000007187	AGP
10317.000036449	AGP
10317.000063228	AGP
10317.000068779	AGP
10317.000066566	AGP
10317.000113750	AGP
10317.000005558	AGP
10317.000007312	AGP
10317.000010313	AGP
10317.000010325	AGP
10317.000012795	AGP
10317.000007021	AGP
10317.000012528	AGP
10317.000012806	AGP
10317.000015153	AGP
10317.000012535	AGP
10317.000036450	AGP
10317.000002642	AGP
10317.000007406	AGP
10317.000009081	AGP
10317.000012435	AGP
10317.000063480	AGP
10317.000067069	AGP
10317.000050466	AGP
10317.000103094	AGP
10317.000154724	AGP
10317.000155606	AGP
10317.000002504	AGP
10317.000009051	AGP
10317.000009494	AGP
10317.000154596	AGP
10317.000154509	AGP
10317.000013866	AGP
10317.000013867	AGP
10317.000013868	AGP
